---
Mammal:            human
Fs:                200
Integration_level: electrocardiogram

Channels:

    - type:   electrography
-0.09 -0.05 -0.
-0.09 -0.05 -0.
-0.08 -0.04 -0.
-0.08 -0.04 -0.
-0.07 -0.03 -0.
-0.06 -0.03 -0.
-0.03 -0.01 -0.
-0.02 -0.01 -0.
-0.02 -0.01 -0.
-0.01 0.00 -0.0
0.01 0.01 -0.07
0.03 0.02 -0.04
0.00 0.01 -0.01
-0.01 0.00 0.00
-0.06 -0.03 0.0
-0.09 -0.04 -0.
-0.10 -0.05 -0.
-0.11 -0.06 -0.
-0.11 -0.06 -0.
-0.11 -0.06 -0.
-0.10 -0.07 -0.
-0.10 -0.06 -0.
-0.11 -0.06 -0.
-0.11 -0.06 -0.
-0.11 -0.07 -0.
-0.11 -0.06 -0.
-0.10 -0.06 -0.
-0.11 -0.06 -0.
-0.10 -0.07 -0.
-0.11 -0.07 -0.
-0.12 -0.07 -0.
-0.12 -0.08 -0.
-0.12 -0.07 -0.
-0.12 -0.07 -0.
-0.11 -0.07 -0.
-0.11 -0.07 -0.
-0.11 -0.07 -0.
-0.11 -0.06 -0.
-0.11 -0.06 -0.
-0.11 -0.07 -0.
-0.12 -0.05 -0.
-0.12 -0.01 0.0
-0.11 0.11 0.15
-0.17 0.23 0.28
-0.35 0.28 0.34
-0.46 0.19 0.31
-0.64 0.04 0.20
-0.81 -0.28 -0.
-0.96 -0.61 -0.
-1.02 -0.69 -0.
-1.06 -0.79 -0.
-0.98 -0.81 -0.
-0.84 -0.74 -0.
-0.76 -0.68 -0.
-0.59 -0.57 -0.
-0.42 -0.42 -0.
-0.29 -0.29 -0.
-0.25 -0.24 -0.
-0.18 -0.18 -0.
-0.12 -0.12 -0.
-0.10 -0.08 -0.
-0.09 -0.06 -0.
-0.07 -0.04 -0.
-0.06 -0.03 -0.
-0.05 -0.02 -0.
-0.05 -0.02 -0.
-0.05 -0.01 -0.
-0.03 -0.00 -0.
-0.03 0.00 -0.0
-0.03 0.00 -0.0
-0.03 0.00 -0.0
-0.03 0.00 -0.0
-0.03 0.00 -0.0
-0.02 0.01 -0.0
-0.01 0.02 -0.0
-0.01 0.02 -0.0
-0.01 0.02 -0.0
-0.01 0.02 -0.0
-0.00 0.02 -0.0
0.01 0.03 0.00
0.01 0.05 0.01
0.01 0.05 0.01
0.02 0.07 0.01
0.03 0.07 0.01
0.04 0.07 0.02
0.03 0.07 0.04
0.03 0.09 0.05
0.04 0.09 0.05
0.04 0.09 0.05
0.05 0.11 0.05
0.07 0.12 0.06
0.07 0.13 0.07
0.09 0.14 0.08
0.09 0.14 0.08
0.10 0.14 0.09
0.12 0.15 0.09
0.13 0.16 0.10
0.14 0.16 0.10
0.15 0.17 0.10
0.16 0.18 0.11
0.16 0.19 0.12
0.17 0.19 0.11
0.18 0.20 0.13
0.18 0.20 0.13
0.20 0.21 0.13
0.20 0.21 0.13
0.21 0.22 0.14
0.21 0.22 0.15
0.21 0.22 0.15
0.22 0.23 0.15
0.22 0.23 0.15
0.21 0.23 0.15
0.20 0.22 0.14
0.19 0.21 0.13
0.17 0.21 0.13
0.15 0.19 0.12
0.11 0.15 0.10
0.10 0.13 0.09
0.08 0.16 0.11
0.07 0.16 0.11
0.06 0.13 0.09
0.05 0.12 0.08
0.03 0.11 0.07
0.03 0.10 0.07
0.03 0.09 0.06
0.02 0.09 0.06
0.01 0.08 0.05
0.01 0.08 0.05
0.01 0.09 0.06
0.01 0.09 0.06
0.02 0.10 0.06
0.02 0.09 0.06
0.02 0.11 0.07
0.03 0.12 0.07
0.03 0.12 0.07
0.05 0.13 0.07
0.04 0.12 0.08
0.02 0.10 0.07
0.01 0.09 0.07
0.02 0.11 0.08
0.03 0.12 0.09
0.03 0.13 0.09
0.01 0.11 0.07
0.00 0.10 0.09
-0.01 0.10 0.09
-0.01 0.09 0.09
-0.02 0.08 0.07
-0.03 0.07 0.07
-0.04 0.05 0.06
-0.04 0.05 0.05
-0.05 0.04 0.05
-0.04 0.04 0.03
-0.04 0.03 0.01
-0.04 0.03 -0.0
-0.04 0.03 -0.0
-0.03 0.03 -0.0
-0.04 0.03 -0.0
-0.04 0.02 -0.1
-0.04 0.03 -0.1
-0.04 0.03 -0.0
-0.05 0.04 -0.0
-0.06 0.03 -0.0
-0.07 0.02 0.02
-0.08 0.01 0.03
-0.07 0.02 0.05
-0.07 0.03 0.05
-0.07 0.03 0.05
-0.08 0.00 0.03
-0.08 -0.00 0.0
-0.08 -0.00 0.0
-0.09 0.00 0.03
-0.09 0.00 0.02
-0.09 -0.00 0.0
-0.09 -0.01 0.0
-0.09 -0.00 0.0
-0.09 0.00 0.04
-0.10 0.01 0.05
-0.10 0.04 0.09
-0.08 0.17 0.21
-0.06 0.31 0.36
-0.25 0.37 0.42
-0.36 0.30 0.42
-0.59 0.12 0.28
-0.79 -0.25 -0.
-0.94 -0.57 -0.
-0.98 -0.64 -0.
-1.02 -0.74 -0.
-0.94 -0.76 -0.
-0.81 -0.68 -0.
-0.73 -0.63 -0.
-0.55 -0.50 -0.
-0.39 -0.35 -0.
-0.25 -0.21 -0.
-0.22 -0.19 -0.
-0.16 -0.12 -0.
-0.11 -0.07 0.0
-0.08 -0.03 0.0
-0.07 -0.01 0.0
-0.06 0.00 0.03
-0.05 0.02 0.05
-0.04 0.02 0.05
-0.04 0.01 0.05
-0.04 0.01 0.04
-0.04 0.01 0.04
-0.05 0.01 0.05
-0.04 0.03 0.05
-0.02 0.04 0.06
-0.02 0.05 0.07
-0.03 0.05 0.08
-0.03 0.04 0.07
-0.03 0.03 0.07
-0.02 0.02 0.06
-0.02 0.06 0.09
-0.01 0.07 0.09
-0.00 0.07 0.08
0.01 0.07 0.08
0.01 0.08 0.08
0.01 0.07 0.09
0.01 0.07 0.09
0.02 0.08 0.10
0.03 0.09 0.10
0.03 0.10 0.11
0.04 0.10 0.11
0.05 0.11 0.11
0.06 0.12 0.11
0.06 0.12 0.12
0.08 0.14 0.13
0.09 0.16 0.14
0.10 0.16 0.15
0.10 0.16 0.14
0.13 0.18 0.15
0.15 0.21 0.18
0.16 0.21 0.19
0.16 0.21 0.18
0.17 0.20 0.18
0.19 0.24 0.21
0.21 0.25 0.22
0.21 0.25 0.21
0.22 0.26 0.22
0.23 0.27 0.23
0.23 0.29 0.25
0.24 0.29 0.25
0.24 0.29 0.25
0.21 0.27 0.24
0.19 0.25 0.22
0.18 0.24 0.21
0.15 0.21 0.20
0.12 0.19 0.18
0.08 0.14 0.15
0.06 0.12 0.13
0.03 0.09 0.11
0.01 0.09 0.10
0.00 0.07 0.08
-0.01 0.06 0.07
-0.05 0.03 0.07
-0.07 0.02 0.07
-0.07 0.01 0.05
-0.08 0.00 0.05
-0.08 -0.01 0.0
-0.09 -0.01 0.0
-0.09 -0.02 0.0
-0.09 -0.01 0.0
-0.08 -0.01 0.0
-0.09 -0.02 0.0
-0.09 -0.02 0.0
-0.09 -0.02 0.0
-0.08 -0.01 0.0
-0.09 -0.02 0.0
-0.08 -0.02 0.0
-0.07 -0.01 0.0
-0.07 -0.01 0.0
-0.07 -0.01 -0.
-0.05 0.00 -0.0
-0.05 0.00 -0.0
-0.06 -0.00 -0.
-0.07 -0.00 -0.
-0.08 0.00 -0.0
-0.08 -0.02 -0.
-0.09 -0.03 -0.
-0.09 -0.01 0.0
-0.08 -0.01 0.0
-0.08 -0.01 0.0
-0.08 -0.01 0.0
-0.09 -0.01 0.0
-0.09 -0.02 0.0
-0.09 -0.03 0.0
-0.10 -0.03 0.0
-0.10 -0.02 0.0
-0.10 -0.02 0.0
-0.10 -0.02 0.0
-0.11 -0.02 0.0
-0.11 -0.03 0.0
-0.10 -0.02 0.0
-0.10 -0.02 0.0
-0.10 -0.02 0.0
-0.12 0.02 0.07
-0.08 0.16 0.21
-0.10 0.22 0.28
-0.19 0.32 0.39
-0.38 0.33 0.43
-0.58 0.06 0.23
-0.67 -0.07 0.1
-0.86 -0.46 -0.
-0.99 -0.69 -0.
-1.03 -0.77 -0.
-0.99 -0.78 -0.
-0.88 -0.78 -0.
-0.71 -0.62 -0.
-0.54 -0.48 -0.
-0.46 -0.41 -0.
-0.31 -0.28 -0.
-0.22 -0.18 -0.
-0.15 -0.10 -0.
-0.13 -0.08 -0.
-0.10 -0.05 0.0
-0.08 -0.03 0.0
-0.07 -0.01 0.0
-0.06 -0.00 0.0
-0.05 0.02 0.05
-0.04 0.02 0.05
-0.04 0.01 0.03
-0.05 0.01 0.03
-0.05 0.02 0.04
-0.04 0.03 0.05
-0.03 0.04 0.05
-0.03 0.04 0.05
-0.04 0.04 0.05
-0.03 0.04 0.06
-0.02 0.05 0.05
-0.01 0.05 0.05
-0.01 0.06 0.05
-0.02 0.05 0.05
-0.01 0.06 0.05
-0.00 0.06 0.05
0.00 0.06 0.06
0.00 0.06 0.06
0.00 0.07 0.06
0.01 0.07 0.06
0.02 0.08 0.07
0.03 0.09 0.08
0.04 0.10 0.08
0.04 0.10 0.08
0.05 0.11 0.09
0.07 0.12 0.09
0.08 0.14 0.10
0.09 0.15 0.11
0.11 0.16 0.12
0.11 0.17 0.13
0.13 0.18 0.14
0.14 0.19 0.14
0.15 0.20 0.15
0.17 0.21 0.17
0.19 0.23 0.17
0.19 0.24 0.18
0.20 0.25 0.19
0.21 0.26 0.19
0.22 0.28 0.19
0.23 0.29 0.20
0.23 0.29 0.21
0.24 0.30 0.22
0.22 0.29 0.21
0.21 0.27 0.20
0.18 0.24 0.18
0.16 0.21 0.16
0.12 0.18 0.14
0.10 0.17 0.13
0.06 0.13 0.10
0.03 0.11 0.08
0.01 0.08 0.07
0.00 0.08 0.06
-0.02 0.06 0.05
-0.04 0.04 0.03
-0.05 0.03 0.03
-0.05 0.03 0.03
-0.06 0.02 0.02
-0.06 0.02 0.02
-0.07 0.01 0.02
-0.07 0.01 0.02
-0.07 0.02 0.03
-0.07 0.01 0.02
-0.07 0.01 0.02
-0.07 0.02 0.02
-0.07 0.02 0.02
-0.06 0.03 0.03
-0.06 0.03 0.03
-0.05 0.03 0.03
-0.05 0.02 0.02
-0.06 0.01 0.01
-0.06 0.02 0.02
-0.06 0.03 0.02
-0.05 0.02 0.02
-0.05 0.04 0.03
-0.06 0.03 0.02
-0.06 0.02 0.01
-0.06 0.01 0.01
-0.06 0.01 0.01
-0.07 0.00 0.00
-0.08 0.00 0.00
-0.07 0.00 -0.0
-0.07 0.02 0.01
-0.07 0.01 0.00
-0.07 0.01 -0.0
-0.08 0.00 -0.0
-0.08 -0.00 -0.
-0.07 0.00 -0.0
-0.07 0.00 -0.0
-0.09 -0.01 -0.
-0.09 -0.02 -0.
-0.09 -0.02 -0.
-0.09 -0.03 -0.
-0.10 -0.03 -0.
-0.10 -0.02 -0.
-0.09 -0.02 -0.
-0.09 -0.03 -0.
-0.09 -0.03 -0.
-0.09 -0.02 -0.
-0.09 -0.03 -0.
-0.10 -0.03 -0.
-0.10 -0.03 -0.
-0.10 -0.03 -0.
-0.10 -0.03 -0.
-0.10 -0.03 -0.
-0.11 -0.04 -0.
-0.11 -0.04 -0.
-0.10 -0.02 -0.
-0.10 -0.02 -0.
-0.09 -0.02 -0.
-0.10 -0.02 -0.
-0.10 -0.03 -0.
-0.10 -0.03 -0.
-0.10 -0.02 -0.
-0.10 -0.03 -0.
-0.10 -0.02 -0.
-0.10 -0.03 -0.
-0.10 -0.03 -0.
-0.10 -0.04 -0.
-0.11 -0.05 -0.
-0.11 -0.05 -0.
-0.12 -0.05 -0.
-0.10 -0.03 -0.
-0.10 -0.02 -0.
-0.10 -0.03 -0.
-0.11 -0.03 -0.
-0.11 -0.03 -0.
-0.10 -0.03 -0.
-0.10 -0.03 -0.
-0.10 -0.02 -0.
-0.10 -0.02 -0.
-0.10 -0.02 -0.
-0.10 -0.02 -0.
-0.10 -0.01 -0.
-0.09 -0.01 -0.
-0.10 -0.03 -0.
-0.10 -0.03 -0.
-0.10 -0.04 -0.
-0.11 -0.04 -0.
-0.10 -0.03 -0.
-0.10 -0.04 -0.
-0.11 -0.05 -0.
-0.11 -0.05 -0.
-0.10 -0.04 -0.
-0.10 -0.03 -0.
-0.10 -0.04 -0.
-0.11 -0.05 -0.
-0.10 -0.05 -0.
-0.10 -0.05 -0.
-0.10 -0.05 -0.
-0.09 -0.04 -0.
-0.10 -0.03 -0.
-0.10 -0.02 -0.
-0.10 -0.01 -0.
-0.10 -0.00 -0.
-0.10 -0.01 -0.
-0.11 -0.02 -0.
-0.11 -0.02 -0.
-0.11 -0.02 -0.
-0.10 -0.02 -0.
-0.10 -0.02 -0.
-0.09 -0.02 -0.
-0.09 -0.02 -0.
-0.09 -0.02 -0.
-0.09 -0.02 -0.
-0.10 -0.02 -0.
-0.11 -0.03 -0.
-0.12 -0.03 -0.
-0.10 -0.02 -0.
-0.10 -0.01 -0.
-0.12 -0.03 -0.
-0.11 -0.03 -0.
-0.11 -0.03 -0.
-0.10 -0.02 -0.
-0.08 -0.01 -0.
-0.08 -0.03 -0.
-0.08 -0.04 -0.
-0.08 -0.04 -0.
-0.06 -0.02 -0.
-0.04 -0.01 -0.
-0.03 0.00 -0.1
-0.01 0.02 -0.0
-0.01 0.02 -0.0
-0.05 0.01 -0.0
-0.06 0.00 -0.0
-0.10 -0.03 -0.
-0.11 -0.03 -0.
-0.10 -0.02 -0.
-0.09 -0.01 -0.
-0.09 -0.01 -0.
-0.11 -0.03 -0.
-0.12 -0.04 -0.
-0.13 -0.05 -0.
-0.14 -0.06 -0.
-0.15 -0.06 -0.
-0.13 -0.04 -0.
-0.12 -0.03 -0.
-0.12 -0.03 -0.
-0.14 -0.05 -0.
-0.14 -0.06 -0.
-0.13 -0.05 -0.
-0.13 -0.06 -0.
-0.14 -0.06 -0.
-0.14 -0.06 -0.
-0.13 -0.06 -0.
-0.13 -0.05 -0.
-0.14 -0.06 -0.
-0.14 -0.07 -0.
-0.14 -0.07 -0.
-0.14 -0.05 -0.
-0.12 -0.04 -0.
-0.12 -0.04 -0.
-0.12 -0.04 -0.
-0.13 -0.03 -0.
-0.13 -0.01 -0.
-0.13 0.09 0.09
-0.10 0.16 0.16
-0.17 0.24 0.26
-0.37 0.21 0.28
-0.58 0.07 0.19
-0.66 -0.06 0.0
-0.83 -0.37 -0.
-0.97 -0.64 -0.
-1.03 -0.78 -0.
-1.04 -0.81 -0.
-0.95 -0.79 -0.
-0.80 -0.68 -0.
-0.63 -0.55 -0.
-0.56 -0.48 -0.
-0.41 -0.35 -0.
-0.29 -0.22 -0.
-0.21 -0.16 -0.
-0.19 -0.14 -0.
-0.13 -0.08 -0.
-0.09 -0.04 -0.
-0.09 -0.04 -0.
-0.09 -0.04 -0.
-0.08 -0.02 -0.
-0.08 -0.01 -0.
-0.07 -0.02 -0.
-0.07 -0.02 -0.
-0.04 0.01 -0.0
-0.04 0.00 -0.0
-0.06 -0.03 -0.
-0.06 -0.03 -0.
-0.05 -0.02 -0.
-0.04 0.00 -0.0
-0.03 0.01 -0.0
-0.03 0.02 0.00
-0.04 0.01 0.01
-0.03 0.02 0.03
-0.03 0.03 0.03
-0.03 0.04 0.03
-0.03 0.04 0.04
-0.02 0.04 0.04
-0.01 0.04 0.04
-0.01 0.04 0.04
-0.02 0.05 0.05
-0.00 0.05 0.05
-0.00 0.04 0.03
0.00 0.04 0.04
0.01 0.05 0.05
0.02 0.05 0.05
0.03 0.07 0.06
0.04 0.09 0.06
0.07 0.14 0.10
0.09 0.16 0.10
0.07 0.12 0.10
0.05 0.10 0.10
0.04 0.08 0.10
0.09 0.14 0.11
0.12 0.16 0.12
0.13 0.16 0.12
0.10 0.13 0.13
0.11 0.13 0.13
0.14 0.15 0.13
0.14 0.15 0.14
0.15 0.16 0.15
0.16 0.17 0.16
0.17 0.18 0.16
0.17 0.19 0.16
0.18 0.18 0.16
0.21 0.21 0.16
0.20 0.20 0.15
0.19 0.20 0.16
0.17 0.19 0.16
0.15 0.17 0.16
0.13 0.16 0.16
0.14 0.18 0.15
0.13 0.17 0.14
0.11 0.16 0.13
0.05 0.11 0.12
0.03 0.09 0.12
0.00 0.07 0.11
-0.01 0.06 0.09
-0.01 0.05 0.08
-0.02 0.05 0.08
-0.01 0.05 0.09
-0.01 0.05 0.08
-0.02 0.05 0.07
-0.02 0.05 0.07
-0.01 0.05 0.08
-0.01 0.06 0.08
-0.02 0.05 0.07
-0.02 0.05 0.07
-0.02 0.05 0.07
-0.02 0.05 0.08
-0.01 0.06 0.08
-0.01 0.06 0.08
-0.01 0.06 0.07
-0.01 0.06 0.07
-0.01 0.07 0.08
-0.01 0.07 0.08
-0.01 0.06 0.08
-0.01 0.07 0.07
-0.02 0.05 0.06
-0.01 0.06 0.07
-0.01 0.06 0.07
-0.02 0.05 0.06
-0.01 0.06 0.06
-0.00 0.06 0.06
-0.01 0.06 0.06
-0.05 0.02 0.06
-0.06 0.01 0.05
-0.06 0.01 0.05
-0.05 0.02 0.05
-0.06 0.01 0.05
-0.06 0.01 0.04
-0.06 0.02 0.04
-0.06 0.02 0.04
-0.06 -0.00 0.0
-0.06 0.01 0.04
-0.06 0.01 0.04
-0.06 0.01 0.03
-0.07 0.00 0.02
-0.07 -0.00 0.0
-0.06 0.00 0.02
-0.07 -0.00 0.0
-0.05 0.02 0.03
-0.03 0.03 0.02
-0.05 0.02 0.01
-0.07 -0.00 0.0
-0.08 -0.02 0.0
-0.10 -0.03 0.0
-0.10 -0.03 0.0
-0.11 -0.03 0.0
-0.10 -0.03 0.0
-0.10 -0.03 0.0
-0.10 -0.03 0.0
-0.09 -0.01 0.0
-0.09 -0.01 0.0
-0.09 -0.03 0.0
-0.09 -0.03 0.0
-0.08 -0.01 0.0
-0.09 -0.02 0.0
-0.09 -0.03 0.0
-0.09 -0.03 0.0
-0.08 -0.02 0.0
-0.07 -0.01 0.0
-0.06 0.00 0.00
-0.05 0.01 -0.0
-0.05 -0.02 -0.
-0.04 -0.01 -0.
-0.01 0.02 -0.0
0.00 0.03 -0.04
0.01 0.04 -0.02
-0.01 0.02 0.00
-0.03 0.02 0.03
-0.04 0.02 0.04
-0.08 -0.00 0.0
-0.09 -0.02 0.0
-0.11 -0.05 0.0
-0.11 -0.05 0.0
-0.11 -0.05 0.0
-0.12 -0.05 0.0
-0.12 -0.05 0.0
-0.13 -0.06 0.0
-0.11 -0.04 0.0
-0.10 -0.03 0.0
-0.09 -0.03 0.0
-0.09 -0.04 0.0
-0.10 -0.05 0.0
-0.11 -0.05 0.0
-0.10 -0.03 0.0
-0.09 -0.02 0.0
-0.07 0.00 0.03
-0.07 -0.02 0.0
-0.10 -0.05 0.0
-0.12 -0.06 0.0
-0.13 -0.06 0.0
-0.14 -0.06 0.0
-0.14 -0.06 0.0
-0.13 -0.06 0.0
-0.12 -0.04 0.0
-0.10 -0.01 0.0
-0.11 -0.01 0.0
-0.12 0.02 0.11
-0.11 0.14 0.22
-0.11 0.25 0.34
-0.31 0.30 0.40
-0.42 0.20 0.35
-0.61 0.01 0.21
-0.79 -0.34 -0.
-0.95 -0.64 -0.
-0.99 -0.71 -0.
-1.03 -0.79 -0.
-0.95 -0.80 -0.
-0.82 -0.70 -0.
-0.73 -0.64 -0.
-0.55 -0.50 -0.
-0.38 -0.35 -0.
-0.25 -0.23 -0.
-0.21 -0.19 -0.
-0.15 -0.12 -0.
-0.10 -0.07 0.0
-0.07 -0.04 0.0
-0.06 -0.03 0.0
-0.05 -0.01 0.0
-0.00 0.04 0.03
0.00 0.04 0.04
-0.01 0.03 0.04
-0.03 0.01 0.04
-0.03 0.01 0.04
-0.02 0.01 0.04
-0.02 0.01 0.04
0.00 0.05 0.06
0.00 0.04 0.05
-0.02 0.01 0.04
-0.02 0.01 0.05
-0.02 0.02 0.05
-0.01 0.03 0.05
0.00 0.05 0.05
0.02 0.07 0.07
0.03 0.07 0.08
0.01 0.06 0.07
0.01 0.06 0.07
0.01 0.05 0.07
0.01 0.05 0.08
0.02 0.06 0.08
0.03 0.07 0.08
0.04 0.07 0.08
0.06 0.11 0.10
0.06 0.10 0.10
0.06 0.11 0.10
0.07 0.12 0.11
0.09 0.14 0.12
0.12 0.17 0.13
0.13 0.18 0.14
0.11 0.16 0.13
0.09 0.13 0.14
0.11 0.14 0.14
0.14 0.17 0.15
0.15 0.17 0.15
0.16 0.18 0.15
0.17 0.19 0.16
0.18 0.20 0.17
0.19 0.21 0.17
0.19 0.21 0.18
0.21 0.21 0.18
0.22 0.23 0.19
0.22 0.24 0.19
0.23 0.24 0.19
0.23 0.24 0.19
0.22 0.24 0.19
0.22 0.24 0.19
0.20 0.22 0.19
0.19 0.22 0.18
0.16 0.21 0.17
0.14 0.18 0.16
0.11 0.15 0.13
0.08 0.12 0.11
0.05 0.11 0.11
0.04 0.10 0.10
0.00 0.07 0.09
-0.01 0.04 0.05
-0.00 0.03 0.02
-0.01 0.02 0.01
-0.02 0.01 -0.0
-0.03 0.00 -0.0
0.01 0.05 -0.02
0.03 0.07 -0.02
0.02 0.06 -0.03
0.02 0.06 -0.03
0.05 0.09 -0.04
0.07 0.11 -0.05
0.09 0.13 -0.05
0.06 0.11 -0.01
0.01 0.07 0.03
-0.01 0.06 0.06
-0.05 0.01 0.07
-0.09 -0.03 0.0
-0.09 -0.03 0.0
-0.08 -0.02 0.0
-0.06 -0.00 0.0
-0.06 0.00 0.07
-0.06 -0.00 0.0
-0.06 0.00 0.07
-0.06 0.02 0.08
-0.06 0.02 0.08
-0.05 0.03 0.07
-0.05 0.03 0.07
-0.06 0.03 0.07
-0.07 0.01 0.06
-0.07 0.00 0.05
-0.07 0.00 0.05
-0.07 0.02 0.07
-0.08 0.08 0.12
-0.05 0.22 0.23
-0.10 0.27 0.30
-0.27 0.33 0.36
-0.52 0.15 0.30
-0.73 -0.10 0.1
-0.82 -0.25 0.0
-0.98 -0.58 -0.
-1.04 -0.71 -0.
-0.97 -0.73 -0.
-0.89 -0.70 -0.
-0.74 -0.62 -0.
-0.58 -0.51 -0.
-0.41 -0.37 -0.
-0.32 -0.28 -0.
-0.18 -0.14 -0.
-0.13 -0.09 -0.
-0.12 -0.09 0.0
-0.11 -0.07 0.0
-0.09 -0.03 0.0
-0.06 -0.00 0.0
-0.04 0.01 0.05
-0.04 0.02 0.05
-0.03 0.03 0.05
-0.01 0.05 0.05
-0.01 0.06 0.05
-0.01 0.06 0.05
-0.00 0.06 0.06
0.00 0.07 0.05
-0.00 0.06 0.05
0.00 0.06 0.05
0.02 0.05 0.03
0.02 0.06 0.04
0.02 0.07 0.04
0.03 0.07 0.04
0.03 0.06 0.04
0.04 0.09 0.04
0.07 0.10 0.04
0.08 0.12 0.04
0.10 0.14 0.04
0.08 0.11 0.04
0.07 0.10 0.05
0.08 0.11 0.05
0.09 0.12 0.05
0.06 0.09 0.06
0.05 0.08 0.07
0.07 0.09 0.07
0.09 0.11 0.08
0.12 0.14 0.08
0.14 0.16 0.09
0.15 0.17 0.10
0.18 0.20 0.11
0.20 0.21 0.12
0.21 0.23 0.13
0.23 0.24 0.13
0.24 0.25 0.15
0.26 0.27 0.15
0.26 0.26 0.15
0.26 0.26 0.15
0.28 0.25 0.14
0.29 0.28 0.15
0.31 0.30 0.17
0.32 0.30 0.17
0.30 0.30 0.17
0.28 0.30 0.17
0.27 0.29 0.16
0.26 0.29 0.16
0.23 0.27 0.14
0.18 0.23 0.12
0.13 0.19 0.10
0.12 0.17 0.09
0.09 0.15 0.07
0.08 0.14 0.05
0.09 0.15 0.03
0.06 0.12 0.02
0.00 0.06 0.01
-0.04 0.02 0.00
-0.05 0.01 -0.0
-0.04 0.02 -0.0
0.00 0.06 -0.01
-0.01 0.05 -0.0
-0.05 0.01 -0.0
-0.05 0.00 -0.0
-0.05 0.00 -0.0
-0.05 0.00 -0.0
-0.05 0.01 -0.0
-0.04 0.01 -0.0
-0.03 0.02 -0.0
-0.03 0.03 -0.0
-0.03 0.02 -0.0
-0.03 0.03 -0.0
-0.02 0.03 -0.0
-0.03 0.03 -0.0
-0.03 0.04 -0.0
-0.03 0.03 -0.0
-0.04 0.02 -0.0
-0.03 0.03 -0.0
-0.03 0.03 -0.0
-0.03 0.03 -0.0
-0.03 0.02 -0.0
-0.04 0.01 -0.0
-0.05 0.00 -0.0
-0.05 0.00 -0.0
-0.07 -0.00 -0.
-0.07 -0.03 -0.
-0.07 -0.02 -0.
-0.07 -0.02 -0.
-0.07 -0.03 -0.
-0.07 -0.03 -0.
-0.08 -0.04 -0.
-0.07 -0.05 -0.
-0.08 -0.05 -0.
-0.07 -0.03 -0.
-0.06 -0.04 -0.
-0.04 -0.03 -0.
-0.01 -0.00 -0.
0.01 0.02 -0.24
-0.05 -0.03 -0.
-0.08 -0.05 -0.
-0.11 -0.07 -0.
-0.12 -0.06 -0.
-0.07 -0.01 -0.
-0.06 -0.00 -0.
-0.05 0.01 -0.0
-0.11 -0.05 -0.
-0.12 -0.06 -0.
-0.13 -0.06 -0.
-0.11 -0.05 -0.
-0.07 -0.01 -0.
-0.05 0.00 -0.0
-0.07 -0.01 -0.
-0.10 -0.04 -0.
-0.11 -0.06 -0.
-0.13 -0.07 -0.
-0.14 -0.07 -0.
-0.15 -0.04 -0.
-0.10 0.09 0.09
-0.11 0.23 0.22
-0.19 0.25 0.26
-0.38 0.26 0.29
-0.60 0.00 0.12
-0.79 -0.30 -0.
-0.88 -0.49 -0.
-1.00 -0.71 -0.
-1.01 -0.74 -0.
-0.93 -0.74 -0.
-0.88 -0.72 -0.
-0.76 -0.69 -0.
-0.60 -0.62 -0.
-0.43 -0.47 -0.
-0.36 -0.38 -0.
-0.24 -0.18 -0.
-0.18 -0.14 -0.
-0.11 -0.11 -0.
-0.09 -0.07 -0.
-0.07 0.00 -0.0
-0.05 0.04 0.01
-0.04 0.05 0.01
-0.03 0.04 -0.0
-0.03 0.03 -0.0
-0.02 0.02 -0.0
-0.02 0.03 -0.0
-0.02 0.04 -0.0
-0.02 0.05 0.00
-0.01 0.05 -0.0
0.03 0.08 -0.01
0.06 0.11 -0.01
0.09 0.13 -0.02
0.00 0.04 -0.01
-0.04 -0.01 -0.
-0.03 -0.00 -0.
-0.01 0.01 -0.0
0.01 0.04 -0.02
0.03 0.06 -0.01
0.04 0.07 0.00
0.05 0.08 -0.00
0.05 0.08 0.00
0.06 0.09 0.00
0.06 0.09 0.00
0.07 0.09 0.00
0.08 0.11 0.01
0.09 0.12 0.02
0.09 0.13 0.02
0.11 0.12 0.02
0.11 0.13 0.02
0.13 0.14 0.02
0.14 0.14 0.02
0.15 0.15 0.03
0.16 0.16 0.04
0.18 0.18 0.05
0.19 0.19 0.05
0.21 0.19 0.03
0.22 0.20 0.05
0.21 0.18 0.05
0.22 0.20 0.06
0.25 0.24 0.08
0.27 0.26 0.09
0.26 0.26 0.11
0.27 0.26 0.12
0.27 0.24 0.09
0.28 0.26 0.11
0.27 0.28 0.12
0.26 0.27 0.11
0.25 0.26 0.11
0.25 0.25 0.09
0.26 0.28 0.09
0.23 0.26 0.08
0.15 0.18 0.05
0.10 0.14 0.05
0.05 0.09 0.03
0.04 0.07 0.02
0.02 0.05 0.00
0.01 0.05 -0.02
0.02 0.05 -0.02
0.02 0.06 -0.01
0.02 0.06 -0.02
0.01 0.06 -0.02
0.01 0.05 -0.03
0.01 0.04 -0.04
0.01 0.04 -0.04
0.02 0.04 -0.04
0.01 0.05 -0.04
0.01 0.05 -0.03
0.01 0.05 -0.04
0.02 0.06 -0.03
0.01 0.07 -0.02
0.02 0.07 -0.03
0.02 0.06 -0.03
0.03 0.08 -0.03
0.03 0.06 -0.04
0.02 0.05 -0.04
-0.00 0.02 -0.0
-0.01 0.04 -0.0
-0.01 0.07 -0.0
0.00 0.07 -0.02
0.04 0.11 -0.03
